month,n_trains,n_cancelled,n_rescheduled,perc_cancelled,perc_rescheduled
2025-01,247145,5755,3557,0.023285925266543932,0.014392360759877805
2025-02,227710,2949,2379,0.012950682886127092,0.010447499011901102
2025-03,246733,4852,3756,0.01966498198457442,0.015222933292263296
2025-04,243386,2298,2562,0.009441792050487703,0.010526488787358353
2025-05,257412,9227,4172,0.03584525973925069,0.016207480614734357
2025-06,239477,6551,4150,0.027355445408118524,0.01732943038371117
2025-07,249649,6342,4108,0.025403666748114354,0.016455102964562245
2025-08,226207,2150,2601,0.009504568824130111,0.011498317912354613
2025-09,252773,7046,4857,0.027874812578875117,0.019214868676638724
2025-10,262058,5489,3947,0.02094574483511284,0.015061551259644812
2025-11,247079,5210,4034,0.02108637318428519,0.01632676188587456
2025-12,251269,5183,3775,0.020627295846284262,0.015023739498306595
