train_class,train_number,departure,arrival,n_days_planned,n_cancelled,perc_cancelled
REG,19740,L`AQUILA,TERNI,45,16,0.35555555555555557
REG,19883,MELFI,POTENZA CENTRALE,76,27,0.35526315789473684
REG,19882,POTENZA CENTRALE,MELFI,77,27,0.35064935064935066
REG,19719,TERNI,L`AQUILA,46,16,0.34782608695652173
REG,92413,MARTINA FRANCA,TARANTO,88,29,0.32954545454545453
REG,19885,MELFI,POTENZA CENTRALE,65,21,0.3230769230769231
REG,19871,MELFI,POTENZA CENTRALE,75,24,0.32
REG,19875,MELFI,POTENZA CENTRALE,76,24,0.3157894736842105
REG,19886,POTENZA CENTRALE,RIONERO ATELLA RIPACANDIDA,76,24,0.3157894736842105
REG,92412,TARANTO,MARTINA FRANCA,89,28,0.3146067415730337
REG,19874,POTENZA CENTRALE,MELFI,64,20,0.3125
REG,19880,POTENZA CENTRALE,MELFI,77,24,0.3116883116883117
REG,19870,POTENZA CENTRALE,MELFI,77,24,0.3116883116883117
REG,19881,MELFI,POTENZA CENTRALE,77,24,0.3116883116883117
REG,19887,RIONERO ATELLA RIPACANDIDA,POTENZA CENTRALE,77,24,0.3116883116883117
REG,19884,POTENZA CENTRALE,MELFI,65,20,0.3076923076923077
REG,19872,POTENZA CENTRALE,MELFI,63,19,0.30158730158730157
REG,19873,MELFI,POTENZA CENTRALE,64,19,0.296875
REG,19876,POTENZA CENTRALE,MELFI,65,18,0.27692307692307694
REG,19878,POTENZA CENTRALE,MELFI,65,18,0.27692307692307694
REG,19877,MELFI,POTENZA CENTRALE,65,18,0.27692307692307694
REG,19879,MELFI,POTENZA CENTRALE,65,18,0.27692307692307694
REG,90331,SUZZARA,PARMA,57,15,0.2631578947368421
REG,19314,PONTASSIEVE,FIRENZE S.M.N.,71,18,0.2535211267605634
REG,6272,LOCRI,CATANZARO LIDO,69,17,0.2463768115942029
