train_class,n_trains,n_cancelled,n_rescheduled,perc_cancelled,perc_rescheduled
DIR,2,1,0,0.5,0.0
EC,5866,186,42,0.03170814865325605,0.007159904534606206
EN,219,2,30,0.0091324200913242,0.136986301369863
EXP,91,10,24,0.10989010989010989,0.26373626373626374
FA,1685,4,53,0.002373887240356083,0.0314540059347181
FB,944,1,31,0.001059322033898305,0.03283898305084746
FR,27183,74,538,0.0027222896663355776,0.019791781628223523
IC,12477,358,959,0.02869279474232588,0.07686142502204056
IR,11,0,4,0.0,0.36363636363636365
MET,26462,328,357,0.012395132643035297,0.013491043760864636
NCL,322,125,7,0.38819875776397517,0.021739130434782608
REG,937150,17972,13209,0.019177292855999572,0.014094862081843889
