month,n_trains,n_cancelled,n_rescheduled,perc_cancelled,perc_rescheduled
2026-01,256002,9544,4459,0.03728095874250983,0.01741783267318224
2026-02,240946,5776,4101,0.023972176338266666,0.017020411212470846
2026-03,261908,1921,3353,0.007334636589947615,0.01280220535455198
2026-04,253556,1820,3341,0.007177901528656392,0.013176576377604948
