train_class,n_trains,n_cancelled,n_rescheduled,perc_cancelled,perc_rescheduled
DIR,6,0,3,0.0,0.5
EC,9788,63,134,0.006436452799346138,0.013690232938291786
EN,986,2,273,0.002028397565922921,0.2768762677484787
EXP,245,5,34,0.02040816326530612,0.13877551020408163
FA,5965,5,84,0.0008382229673093043,0.014082145850796313
FB,3431,0,39,0.0,0.011366948411541825
FR,79620,168,1783,0.0021100226073850793,0.02239387088671188
IC,34024,121,2711,0.0035563131906889253,0.07967905008229485
IR,66,0,36,0.0,0.5454545454545454
MET,79415,1150,1823,0.014480891519234401,0.022955361077882014
NCL,183,16,18,0.08743169398907104,0.09836065573770492
REG,2568367,23231,35560,0.009045046911130691,0.01384537334423001
