train_class,train_number,departure,arrival,n_days_planned,n_cancelled,perc_cancelled
REG,24217,MILANO BOVISA FNM,MILANO ROGOREDO,31,31,1.0
REG,11275,NOVARA,MORTARA,290,53,0.18275862068965518
REG,4843,SASSARI,CAGLIARI,32,5,0.15625
REG,5855,CIVITAVECCHIA,ROMA TERMINI,33,5,0.15151515151515152
REG,12782,ROMA TIBURTINA,VITERBO PORTA FIORENTINA,40,6,0.15
REG,4848,CAGLIARI,SASSARI,34,5,0.14705882352941177
REG,22017,PALERMO CENTRALE,PUNTA RAISI,49,7,0.14285714285714285
REG,22011,PALERMO CENTRALE,PUNTA RAISI,49,7,0.14285714285714285
REG,18273,FIRENZE S.M.N.,EMPOLI,58,8,0.13793103448275862
REG,20106,VELLETRI,ROMA TERMINI,51,7,0.13725490196078433
REG,5347,NAPOLI CENTRALE,SALERNO,60,8,0.13333333333333333
REG,19325,FIRENZE S.M.N.,BORGO S. LORENZO,30,4,0.13333333333333333
REG,21250,ROMA TIBURTINA,BRACCIANO,46,6,0.13043478260869565
REG,16137,PADOVA,VENEZIA SANTA LUCIA,46,6,0.13043478260869565
REG,12884,CATANIA AER. FONTANAROSSA,CATANIA CENTRALE,54,7,0.12962962962962962
REG,20113,ROMA TERMINI,VELLETRI,54,7,0.12962962962962962
REG,2761,TORINO P.NUOVA,IVREA,54,7,0.12962962962962962
REG,16289,VERONA PORTA NUOVA,MANTOVA,31,4,0.12903225806451613
REG,12536,ROMA TERMINI,CIVITAVECCHIA,47,6,0.1276595744680851
REG,5994,ROMA OSTIENSE,VIGNA CLARA,47,6,0.1276595744680851
IC,1965,MESSINA CENTRALE,PALERMO CENTRALE,191,24,0.1256544502617801
REG,21969,REGGIO CALABRIA CENTRALE,MELITO DI PORTO SALVO,72,9,0.125
REG,22109,MESSINA CENTRALE,SIRACUSA,40,5,0.125
REG,20469,ROMA OSTIENSE,FIUMICINO AEROPORTO,57,7,0.12280701754385964
REG,5243,NAPOLI CENTRALE,SAPRI,57,7,0.12280701754385964
